Filename,Normalized KL Divergence,Hellinger Score,Cosine Similarity,Mean Score,Total Variation Distance
ir_2023-05-22_0519_646afb5426e44_extracted.tsv_138_control_cdr3_scores.txt,0.7835395462863189,0.7062396839494647,0.8626706033262828,0.6629701028578653,0.7349289172489042
ir_2023-05-22_0519_646afb75476a0_extracted.tsv_102_control_cdr3_scores.txt,0.7756058367802753,0.698566104432237,0.8581451521436453,0.654968592089948,0.730374052060355
ir_2023-07-27_0533_64c201c0dfa50_extracted.tsv_58_control_cdr3_scores.txt,0.7446522825293596,0.6794027473105786,0.8360141180884526,0.6133809566178561,0.6963512213825624
ir_2023-05-22_0520_646afba9a7249_extracted.tsv_104_control_cdr3_scores.txt,0.8235755692916612,0.7387885319574992,0.8885692661672967,0.7176683765586599,0.7741889811603907
ir_2023-05-22_0519_646afb6b73df4_extracted.tsv_139_control_cdr3_scores.txt,0.78855935860461,0.7111983302514938,0.8639565777128192,0.6600162911408763,0.7365288374188431
ir_2023-07-27_1103_64c24f023d200_extracted.tsv_124_control_cdr3_scores.txt,0.7656164495633196,0.6946874580076513,0.8495715151205417,0.6370784454486901,0.71558264423398
ir_2023-05-22_0519_646afb65b4758_extracted.tsv_32_control_cdr3_scores.txt,0.7830083664778993,0.7095461137150838,0.859312231072552,0.6539592018143214,0.7284266567228947
ir_2023-05-22_0520_646afbb54873a_extracted.tsv_78_control_cdr3_scores.txt,0.7878294501051258,0.711430150666353,0.8647695304564904,0.6686375649608506,0.7389360998704193
ir_2023-05-22_0521_646afbcdad501_extracted.tsv_128_control_cdr3_scores.txt,0.7872389486508197,0.7167725999891379,0.860586579989883,0.6577770004969726,0.731220573682717
ir_2023-07-17_0459_64b4caa233c40_extracted.tsv_127_control_cdr3_scores.txt,0.750130925291691,0.6836109854688712,0.8392874948318266,0.6178957233157307,0.7008926715187784
ir_2023-05-22_0521_646afbd437b2e_extracted.tsv_198_control_cdr3_scores.txt,0.7730403560401335,0.7017588231258189,0.8544640354167913,0.6543455947585722,0.7231269397397848
ir_2023-05-22_0521_646afbbcab2c1_extracted.tsv_117_control_cdr3_scores.txt,0.7144522040227799,0.6596830414497836,0.8166128343015953,0.5908372422301277,0.6667812451808378
ir_2023-05-22_0521_646afbcb010df_extracted.tsv_6_control_cdr3_scores.txt,0.824313751776426,0.7427135849349781,0.8856977818662161,0.6958225310061716,0.7712324681301442
ir_2023-07-17_0529_64b4d1a5565b4_extracted.tsv_133_control_cdr3_scores.txt,0.7652338873726252,0.6938393838688951,0.8496476758200519,0.6386670679621675,0.7155101227519856
ir_2023-07-18_0401_64b60e7f40a56_extracted.tsv_44_control_cdr3_scores.txt,0.733223033753211,0.6715577165370701,0.8282274183123424,0.5983574011345757,0.6856915409530039
ir_2023-05-22_0521_646afbc3b8da1_extracted.tsv_108_control_cdr3_scores.txt,0.7765005316477108,0.7071081228720968,0.8526225893357098,0.6413565083727008,0.7157806858186037
ir_2023-05-22_0519_646afb7a0d344_extracted.tsv_143_control_cdr3_scores.txt,0.750886826847614,0.6822029489310378,0.8411873189724343,0.6246624619086116,0.7049077628457376
ir_2023-05-22_0558_646b0473c0d84_extracted.tsv_169_control_cdr3_scores.txt,0.7207839165444131,0.6643982279100584,0.8188118905434891,0.578785394828681,0.6729080213705192
ir_2023-05-22_0521_646afbc06db66_extracted.tsv_50_control_cdr3_scores.txt,0.777607706407933,0.706797474454472,0.855207277170082,0.6479906114779281,0.7209217119688328
ir_2023-05-22_0521_646afbdacaf76_extracted.tsv_0_control_cdr3_scores.txt,0.7414167562022629,0.6771941110669822,0.8352139386611599,0.625033747071239,0.6930634400409009
ir_2023-05-22_0521_646afbd106273_extracted.tsv_9_control_cdr3_scores.txt,0.7765199112975057,0.7131814592155811,0.8468863873221487,0.6082378105510413,0.7106377619244498
ir_2023-08-17_0015_64dd66af588b8_extracted.tsv_59_control_cdr3_scores.txt,0.7794438629684793,0.7034445030919647,0.8596485606375402,0.659313180735833,0.7305978238108072
ir_2023-08-03_0622_64cb47bb77220_extracted.tsv_30_control_cdr3_scores.txt,0.7305906827443939,0.6703943724169494,0.8261600518230753,0.5943363705170099,0.6828808386496508
ir_2023-08-03_0111_64cafec44c0ac_extracted.tsv_92_control_cdr3_scores.txt,0.7151884747706088,0.6602710449699238,0.8155886451305882,0.5755134434755076,0.6684942496122039
ir_2023-05-22_0520_646afbb95032f_extracted.tsv_62_control_cdr3_scores.txt,0.7297671764868959,0.6710763998626759,0.8266094381910953,0.6129028258483029,0.6789178439075833
ir_2023-05-22_0521_646afbc84be4f_extracted.tsv_203_control_cdr3_scores.txt,0.7487790833036928,0.6821631589143405,0.8390378062166662,0.6370068487577196,0.6942334400813349
ir_2023-07-18_0147_64b5ef4974837_extracted.tsv_74_control_cdr3_scores.txt,0.7291413540418599,0.669213113142885,0.8252815202577946,0.593261996597999,0.681315893275815
ir_2023-05-22_0518_646afb415c177_extracted.tsv_202_control_cdr3_scores.txt,0.7626851665551173,0.6937101152348432,0.8461215375995178,0.6288098668529373,0.7093375354231632
ir_2023-05-22_0446_646af3a805698_extracted.tsv_201_control_cdr3_scores.txt,0.7271886190619474,0.6687212058831737,0.8231379474536956,0.5863097631686948,0.6787603644571004
ir_2023-08-03_0436_64cb2ecf2cdde_extracted.tsv_40_control_cdr3_scores.txt,0.749796146632364,0.6799388869624055,0.8418393739881549,0.633390167761599,0.7040694069498646
